Unnamed: 0,State,District,Reg_id,date,mean,max,min
117,Madhya Pradesh,CHHATARPUR,1011,2024-01-21,11.896051,18.907007,6.367883
118,Madhya Pradesh,CHHATARPUR,1010,2024-01-21,12.080774,18.963984,7.3206115
119,Madhya Pradesh,CHHATARPUR,1009,2024-01-21,11.591486,18.877771,6.472284
120,Madhya Pradesh,CHHATARPUR,1008,2024-01-21,12.201899,19.318842,6.9237304
121,Madhya Pradesh,CHHATARPUR,1007,2024-01-21,11.409021,18.736902,6.1923156
122,Madhya Pradesh,CHHATARPUR,1006,2024-01-21,12.1965275,19.018427,6.987024
123,Madhya Pradesh,CHHATARPUR,1005,2024-01-21,12.244165,19.068018,6.76864
124,Madhya Pradesh,CHHATARPUR,1004,2024-01-21,11.619501,18.844355,5.892511
125,Madhya Pradesh,CHHATARPUR,1003,2024-01-21,12.310022,19.695185,6.411035
126,Madhya Pradesh,CHHATARPUR,1002,2024-01-21,12.554102,19.33462,7.3637633
127,Madhya Pradesh,CHHATARPUR,1001,2024-01-21,12.153894,19.33169,6.4572387
128,Madhya Pradesh,BURHANPUR,4,2024-01-21,17.515223,24.42779,12.100122
129,Madhya Pradesh,BURHANPUR,3,2024-01-21,17.759333,24.604944,12.2008915
130,Madhya Pradesh,BURHANPUR,2,2024-01-21,18.746332,25.407251,13.530054
131,Madhya Pradesh,BURHANPUR,1,2024-01-21,18.822382,25.48623,13.493433
132,Madhya Pradesh,BHOPAL,9003,2024-01-21,14.178125,20.853693,9.225885
133,Madhya Pradesh,BHOPAL,9002,2024-01-21,13.921534,20.700464,8.8441105
134,Madhya Pradesh,BHOPAL,9001,2024-01-21,13.339746,20.428217,8.025476
135,Madhya Pradesh,BHIND,8010,2024-01-21,9.936731,17.52331,5.8510985
136,Madhya Pradesh,BHIND,8009,2024-01-21,9.93609,17.622583,5.674707
137,Madhya Pradesh,BHIND,8008,2024-01-21,9.885736,17.402002,5.471582
138,Madhya Pradesh,BHIND,8007,2024-01-21,10.103876,17.645105,5.4551635
139,Madhya Pradesh,BHIND,8006,2024-01-21,10.099756,17.824732,5.6698546
140,Madhya Pradesh,BHIND,8005,2024-01-21,9.912256,17.257227,5.4811645
141,Madhya Pradesh,BHIND,8004,2024-01-21,10.153711,17.4089,5.4884887
142,Madhya Pradesh,BHIND,8003,2024-01-21,9.797815,17.305262,5.561792
143,Madhya Pradesh,BHIND,8002,2024-01-21,9.921503,17.367975,5.96499
144,Madhya Pradesh,BHIND,8001,2024-01-21,9.910639,17.245539,5.989679
145,Madhya Pradesh,BETUL,7011,2024-01-21,15.172846,21.671534,9.926905
146,Madhya Pradesh,BETUL,7010,2024-01-21,17.319391,24.629694,11.135736
147,Madhya Pradesh,BETUL,7009,2024-01-21,16.395075,23.746058,10.318659
148,Madhya Pradesh,BETUL,7008,2024-01-21,15.350641,22.031824,9.637812
149,Madhya Pradesh,BETUL,7007,2024-01-21,15.393854,21.966455,10.258081
150,Madhya Pradesh,BETUL,7006,2024-01-21,16.103144,22.924921,11.055658
151,Madhya Pradesh,BETUL,7005,2024-01-21,16.48144,23.66662,10.574121
152,Madhya Pradesh,BETUL,7004,2024-01-21,15.375055,22.226282,10.173761
153,Madhya Pradesh,BETUL,7003,2024-01-21,15.584345,22.54748,10.106867
154,Madhya Pradesh,BETUL,7002,2024-01-21,16.88305,24.120173,10.616907
155,Madhya Pradesh,BETUL,7001,2024-01-21,15.676386,22.697535,9.156
156,Madhya Pradesh,BARWANI,6009,2024-01-21,18.51098,25.063105,13.291773
157,Madhya Pradesh,BARWANI,6008,2024-01-21,18.102594,25.09759,12.170038
158,Madhya Pradesh,BARWANI,6007,2024-01-21,18.219019,24.722284,13.026606
159,Madhya Pradesh,BARWANI,6006,2024-01-21,18.057856,24.69195,12.435907
160,Madhya Pradesh,BARWANI,6005,2024-01-21,18.382898,24.846552,11.878656
161,Madhya Pradesh,BARWANI,6004,2024-01-21,17.991877,24.891138,12.678553
162,Madhya Pradesh,BARWANI,6003,2024-01-21,18.200617,24.722528,12.88476
163,Madhya Pradesh,BARWANI,6002,2024-01-21,18.329523,24.856195,12.003077
164,Madhya Pradesh,BARWANI,6001,2024-01-21,18.243494,25.027033,12.044977
165,Madhya Pradesh,BALAGHAT,5011,2024-01-21,19.361322,25.60705,13.61648
166,Madhya Pradesh,BALAGHAT,5010,2024-01-21,19.772821,25.68191,14.321253
167,Madhya Pradesh,BALAGHAT,5009,2024-01-21,17.45498,24.786737,11.173029
168,Madhya Pradesh,BALAGHAT,5008,2024-01-21,19.69729,26.226343,14.206507
169,Madhya Pradesh,BALAGHAT,5007,2024-01-21,18.678675,25.187922,12.881403
170,Madhya Pradesh,BALAGHAT,5006,2024-01-21,19.147669,25.944239,13.181513
171,Madhya Pradesh,BALAGHAT,5005,2024-01-21,19.963648,26.050043,14.152613
172,Madhya Pradesh,BALAGHAT,5004,2024-01-21,19.316645,25.36535,13.842798
173,Madhya Pradesh,BALAGHAT,5003,2024-01-21,18.235407,25.192804,12.163904
174,Madhya Pradesh,BALAGHAT,5002,2024-01-21,18.011225,25.011774,11.856836
175,Madhya Pradesh,BALAGHAT,5001,2024-01-21,17.413904,24.623224,10.886316
176,Madhya Pradesh,ASHOKNAGAR,4008,2024-01-21,12.446558,19.720453,6.5103393
177,Madhya Pradesh,ASHOKNAGAR,4007,2024-01-21,12.568415,19.584711,7.1298156
178,Madhya Pradesh,ASHOKNAGAR,4006,2024-01-21,12.231073,19.578333,6.150415
179,Madhya Pradesh,ASHOKNAGAR,4005,2024-01-21,12.68078,19.656519,7.6117187
180,Madhya Pradesh,ASHOKNAGAR,4004,2024-01-21,12.39953,19.313562,6.8046813
181,Madhya Pradesh,ASHOKNAGAR,4003,2024-01-21,12.82519,19.31579,7.91427
182,Madhya Pradesh,ASHOKNAGAR,4002,2024-01-21,12.552759,19.895044,6.410028
